publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2024211723-A1,Artificial intelligence device for providing recommendations and control method thereof ,Lg Electronics Inc.,"Touqir SAJED, Ali PESARANGHADER",12/9/2022,6/27/2024,2024
US-2025029133-A1,System and method for interacting with an electric two-wheeler vehicle user ,Oben Electric Vehicles Private Limited,"Dinkar AGRAWAL, Sagar THAKKAR, Rihen Shah",2/14/2022,1/23/2025,2025
US-2023108256-A1,Conversational artificial intelligence system in a virtual reality space ,"MeetKai, Inc.",James Kaplan,8/11/2021,4/6/2023,2023
US-2023139003-A1,Systems and methods for managing velocity profiles ,"Electra Vehicles, Inc.","Saurabh Bhasme, Fabrizio Martini, Britany Straley, Thomas James Couture",3/18/2020,5/4/2023,2023
US-2023305587-A1,"Energy data presentation and visualization dashboard system, method and computer program product providing energy performance, diagnostic data and economic impact of all monitored energy consuming and production assets ","Vybe Energy, Llc","Nisha Thirumurthy, Gabriel Kiblin, Terry Michael Conger Bickham",1/6/2020,9/28/2023,2023
US-2023122362-A1,Apparatus and methods for testing electrochemical systems ,Cadex Electronics Inc.,"Tina Shoa Hassani Lashidani, Gregory John Funk, Mark Steven RICHTER, April Petrovna Zoom O'DWYER, Tarek Lawrence WARD, Yat Shun (Damien) Yu, Kevin Norman HADDEN, Alex James LIM, Marvin MESSING",3/25/2020,4/20/2023,2023
US-12051047-B2,"Artificial intelligence monitoring, negotiating, and trading agents for autonomous vehicles ","Dgnss Solutions, Llc",George DEDES,4/7/2020,7/30/2024,2024
US-11645779-B1,Using vehicle cameras for automatically determining approach angles onto driveways ,Ambarella International Lp,Anthony Pertsel,9/21/2020,5/9/2023,2023
US-2023322127-A1,System and methods for the optimization of hybrid electric vehicle operations through active powertrain system control ,Hydrogen Vehicle Systems Ltd,David Telford,4/11/2022,10/12/2023,2023
US-2024051146-A1,Autonomous solar installation using artificial intelligence ,The Aes Corporation,"Scott T. Luan, Michael Jason PIPER, Bardh RUSHITI, Deise Yumi ASAMI, Alexander Avery, Jacob KIGGINS, John Christopher Shelton",8/11/2022,2/15/2024,2024
US-11982544-B2,Distributed control of energy storage device charging and grid stability ,"Landis+Gyr Technology, Inc.","Matt Karlgaard, Dayanna Palacios Vivanco",2/4/2021,5/14/2024,2024
US-2024227565-A1,"Vehicle Data Managing Server, Platform Managing Server and Service Server, and Service Providing System Associated With Autonomous Driving Platform ","Lg Energy Solution, Ltd.","Jin Woo Lee, Dong Myung Kim, Hyuk Sung Chung",1/10/2023,7/11/2024,2024
US-2022076061-A1,"Method and apparatus for creating high-fidelity, synthetic imagery for artificial intelligence model training and inference in security and screening applications ",Cignal Llc,Eric M. Fiterman,5/14/2020,3/10/2022,2022
US-2023174041-A1,Evaluating and managing supercapacitors of electric vehicles ,"Sustainable Energy Technologies, Inc.",John Cronin,12/6/2021,6/8/2023,2023
US-11670115-B2,Systems and methods for fleet management ,"Beta Air, Llc",Vincent Moeykens,8/19/2021,6/6/2023,2023
US-11794676-B1,Computing systems and methods for generating user-specific automated vehicle actions using artificial intelligence ,Mercedes-Benz Group AG,"Hassan Benqassmi, Maja Buhr, Chris Busenbark, Anusha Joshi, Jason Kamin, Mahmoud Khalil, Isabel Litton, Samina Reddy",12/14/2022,10/24/2023,2023
US-2024146060-A1,Methods and systems for controlling electric vehicle charging based on power distribution system information ,BluWave Inc.,"Alexander LINCHIEH, Amir Lotfi, Devashish PAUL, Thomas Triplet",10/26/2022,5/2/2024,2024
US-2022326042-A1,Pedestrian trajectory prediction apparatus ,Gwangju Institute Of Science And Technology,"Hae Gon Jeon, In Hwan Bae",4/1/2021,10/13/2022,2022
US-11655893-B1,Efficient automatic gear shift using computer vision ,Ambarella International Lp,Shimon Pertsel,10/25/2021,5/23/2023,2023
US-2022188946-A1,Customer-centric method and system for pricing options and pricing/charging co-optimization at multiple plug-in electric vehicle charging stations ,"Totalenergies Se, The Regents Of The University Of California","Scott MOURA, Teng ZENG, Sangjae Bae, Wente ZENG, Carl LENOX, Bertrand TRAVACCA",12/4/2020,6/16/2022,2022
US-2023042867-A1,Autonomous electric mower system and related methods ,"Graze, Inc.","Nicholas Degnan, Arthur Levy, Martin Buehler, Amar Jyothiprakash, Michael Lui, Krystof Litomisky, Manomit Bal, Blake Edward Winner",7/28/2021,2/9/2023,2023
US-11332031-B2,Locating optimal charge stations ,"Kyndryl, Inc.","Rajmohan ., Dinesh K N, Pramod Vadayadiyil Raveendran, Rajith P M",9/23/2020,5/17/2022,2022
US-2024071074-A1,Ar service platform for providing augmented reality service ,Lg Electronics Inc.,Byoungsu KANG,1/12/2021,2/29/2024,2024
US-2023176635-A1,Electric vehicle supercapacitor thermal management ,"Sustainable Energy Technologies, Inc.",John Cronin,12/6/2021,6/8/2023,2023
US-2022306152-A1,Task-Motion Planning for Safe and Efficient Urban Driving ,The Research Foundation For The State University Of New York,"Shiqi ZHANG, Yan Ding",3/5/2021,9/29/2022,2022
US-2024383363-A1,Electric vehicle charging system with distributed charging ,Evjam Llc,"Steven Dicke, Gregg Kromrey",5/19/2023,11/21/2024,2024
US-11814032-B2,Electrified vehicle control with dynamic segment-based distance-to-empty (DTE) ,"Ford Global Technologies, Llc","Mark Poll, Erik Biberstein, Ryan Hunt, Jacob DOAN, John William SCHMOTZER",12/8/2020,11/14/2023,2023
US-11571986-B2,Managing the exchange between a power grid and charging/discharging stations ,Toyota Jidosha Kabushiki Kaisha,"Shigeki Kinomura, Hironobu Kitaoka, Toru Nakamura, Hidetoshi Kusumi, Yoshiyuki TSUCHIYA",2/14/2020,2/7/2023,2023
US-2022164722-A1,Systems and methods for data-driven energy management of a vehicle fleet with electric vehicles ,BluWave Inc.,"Nasrin SADEGHIANPOURHAMAMI, Alexander LINCHIEH, Mostafa FARROKHABADI, Devashish PAUL",11/24/2020,5/26/2022,2022
US-2024181927-A1,System and method for energy management of a power pack for an electric vehicle including photovoltaic charging ,"Sustainable Energy Technologies, Inc.",John Cronin,12/3/2021,6/6/2024,2024
US-11299059-B1,Self-stabilizing skateboard ,"Future Motion, Inc.","Julian de la RUA, Brady Boone",10/20/2021,4/12/2022,2022
US-2024166492-A1,Systems and methods for a mobile productivity platform ,Marathon Petroleum Company Lp,Zachary D. Thobe,11/22/2022,5/23/2024,2024
US-2023187960-A1,Charge compatible supercapacitor system ,"Sustainable Energy Technologies, Inc.",John Cronin,12/6/2021,6/15/2023,2023
US-2022044023-A1,Object-aware temperature anomalies monitoring and early warning by combining visual and thermal sensing sensing ,Ambarella International Lp,"Zhenwu Xue, Yutao Feng",8/5/2020,2/10/2022,2022
US-11385292-B2,Battery materials screening ,Volkswagen Aktiengesellschaft,"Melanie SENN, Gianina Alina Negoita, Nasim Souly, Vedran Glavas, Julian Wegener, Prateek Agrawal",9/10/2020,7/12/2022,2022
US-2022340039-A1,"Battery data management method, battery data management system, and recording medium ",Panasonic Intellectual Property Corporation Of America,"Yuji Unagami, Motoji Ohmori, Toshihiro Inokuchi",1/17/2020,10/27/2022,2022
US-2024106722-A1,Communication method using artificial intelligence and communication apparatus ,"Huawei Technologies Co., Ltd.","Haihua Shen, Wenliang LIANG, Enbo Wang",6/9/2021,3/28/2024,2024
US-11586843-B1,Generating training data for speed bump detection ,Ambarella International Lp,Shimon Pertsel,3/26/2020,2/21/2023,2023
US-2023294544-A1,Method of Controlling of Battery Energy Storage System of Power System with High Dynamic Loads ,Abb Schweiz Ag,"Kacper Sowa, Adam Ruszczyk, Tomasz Kuczek, Carlos Nieto",3/18/2022,9/21/2023,2023
US-2023282036-A1,Managing Vehicle Data for Selective Transmission of Collected Data Based on Event Detection ,"Synapse Partners, Llc",Evangelos Simoudis,8/28/2020,9/7/2023,2023
US-2023123869-A1,System and method of estimating state of charge of battery using coulomb counting estimation with periodic calibration using artificial intelligence based estimation ,Nxp B.V.,"Vincent Pierre Martinez, Alexandre Giraud, Philippe Jean-Pierre Perruchoud",10/18/2021,4/20/2023,2023
US-12062136-B2,Mixed reality-based display device and route guide system ,Lg Electronics Inc.,"Sunghwan Choi, Yujung JANG, Kihyung LEE, Seungman KIM",7/13/2021,8/13/2024,2024
US-2023075836-A1,Model training method and related device ,"Huawei Technologies Co., Ltd.","Fuhui TANG, Xiaopeng Zhang, Minzhe NIU, Zichen WANG, Jianhua Han, Qi Tian",5/15/2020,3/9/2023,2023
US-2023179662-A1,Smart home device and method ,Lg Electronics Inc.,"Haejung KIM, KunWoo KIM, Kyunghoon YU, Byeonggwan PARK",4/21/2020,6/8/2023,2023
US-2024217390-A1,Tracking vehicle battery condition history from multipe sources using blockchain technology ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",12/29/2022,7/4/2024,2024
US-2023300579-A1,Edge-centric techniques and technologies for monitoring electric vehicles ,Intel Corporation,"Arvind Merwaday, Kathiravetpillai Sivanesan, Varsha Ramamurthy, Fabian Oboril, Cornelius Buerkle, Frederik Pasch, Ignacio Alvarez, John M. Roman, Ecehan Uludag",2/25/2022,9/21/2023,2023
US-2021233537-A1,"Device, system and method for controlling a plurality of voice recognition devices ",Lg Electronics Inc.,"Siyoung YANG, Yongchul PARK, Sungmin HAN, Sangki KIM, Juyeong JANG, Minook Kim",1/28/2020,7/29/2021,2021
US-2023267829-A1,Multi-objective optimization control method and system for cooperative ramp merging of connected vehicles on highway ,Southeast University,"Hanxuan DONG, Fan Ding, Hailong Zhang, Huachun Tan, Linhui Ye, Yunqi Dai",2/23/2022,8/24/2023,2023
US-2022237419-A1,"Autonomous vehicle system for performing multi-sensor, multi-resolution fusion of object type and attribute information ","Argo Al, LLC",Kevin Lee Wyffels,10/8/2020,7/28/2022,2022
US-2022234459-A1,Method for operating a motor vehicle for a charging process of a traction battery and motor vehicle ,Audi Ag,"Florian Auberger, Daniel Renner",1/27/2021,7/28/2022,2022
US-2023217253-A1,"Systems, methods, and apparatus for workload optimized central processing units (cpus) ",Intel Corporation,"Stephen Palermo, Srihari Makineni, Shubha Bommalingaiahnapallya, Rany ElSayed, Lokpraveen Mosur, Neelam Chandwani, Pinkesh Shah, Rajesh Gadiyar, Shrikant M. Shah, Uzair Qureshi",5/29/2020,7/6/2023,2023
US-12184231-B2,Solar panel handling system ,The Aes Corporation,"John Christopher Shelton, Luis Herrera, Deise Yumi ASAMI, Steve GANGI, Chris ANGEVINE, Brian ROSCOE, David MEILLER, Adam BOWERS, Joseph BRINEY",8/28/2020,12/31/2024,2024
US-2023211675-A1,Supercapacitor to electrochemical hybrid system with smart self-discharge capability ,"Sustainable Energy Technologies, Inc.",John Cronin,12/30/2021,7/6/2023,2023
US-2024410708-A1,Map Data Processing Method and Apparatus ,"Huawei Technologies Co., Ltd.","Wenkai Fei, Miao Yang, Jianqin Liu",2/26/2022,12/12/2024,2024
US-2024393406-A1,Battery Cell Diagnosing Apparatus and Method ,"Lg Energy Solution, Ltd.","Sun-Jong Lee, Cheol-Taek Kim",5/26/2022,11/28/2024,2024
US-11458987-B2,Driver-centric risk assessment: risk object identification via causal inference with intent-aware driving models ,"Honda Motor Co., Ltd.","Chengxi LI, Yi-Ting Chen",2/26/2020,10/4/2022,2022
US-2023173949-A1,Modular multi-type power pack charging apparatus ,"Sustainable Energy Technologies, Inc.",John Cronin,12/3/2021,6/8/2023,2023
US-12054022-B2,Robot ,Lg Electronics Inc.,"Haklim LEE, Jiyong Shin, Sanghyuk IM",9/14/2020,8/6/2024,2024
US-2022097785-A1,Robot ,Lg Electronics Inc.,"Baekchul Kim, Yongjun Kim, Namjin Kim, Woong Jeong, Mingon KIM",9/29/2020,3/31/2022,2022
US-12194886-B2,System and method for analyzing temperature changes in supercapacitor battery storage for electric vehicle ,"Sustainable Energy Technologies, Inc.",John Cronin,12/6/2021,1/14/2025,2025
US-2023182580-A1,Method and systems to trickle charge electric vehicle's supercapacitors using solar energy ,"Sustainable Energy Technologies, Inc.",John Cronin,12/10/2021,6/15/2023,2023
US-2023182616-A1,System and method for determining range and capacity of supercapacitor battery storage for electric vehicle ,"Sustainable Energy Technologies, Inc.",John Cronin,12/6/2021,6/15/2023,2023
US-11544935-B2,System for risk object identification via causal inference and method thereof ,"Honda Motor Co., Ltd.","Yi-Ting Chen, Chengxi LI",2/26/2020,1/3/2023,2023
US-12071141-B2,Systems and methods for predicting driver visual impairment with artificial intelligence ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Rohit Gupta, Zhouqiao Zhao, Ziran Wang, Kyungtae Han, Prashant Tiwari",1/27/2022,8/27/2024,2024
US-2023115708-A1,Automatic driving device and vehicle control method ,Denso Corporation,"Jingyu XIANG, Hiroyuki Ohsawa",7/8/2020,4/13/2023,2023
US-11840253-B1,"Vision based, in-vehicle, remote command assist ",Ambarella International Lp,Shimon Pertsel,10/16/2020,12/12/2023,2023
US-2023213586-A1,"Battery capacity measuring device and method, and battery control system comprising battery capacity measuring device ","Lg Chem, Ltd.","Changsun Kong, SunMin Kim, Kyu Hwang Lee, Byung Kwun Kang",11/13/2020,7/6/2023,2023
US-2025015313-A1,Systems and methods for machine learning enabled fault detection in rechargeable batteries ,Eatron Technologies Limited,"Can Kurtulus, Muharrem Ugur Yavas, Resul Dagdanov",6/21/2023,1/9/2025,2025
US-11763671-B2,Stopper-type charging device and driving method thereof ,DURUSCO. EV Inc,Jong Soo Park,12/7/2021,9/19/2023,2023
US-11538336-B1,Object control system to control navigation of a moving vehicle when exiting a road or a freeway ,Kiomars Anvari,Kiomars Anvari,11/2/2021,12/27/2022,2022
US-2023366937-A1,Computer-implemented method for diagnosing states of a battery ,Univerza V Ljubljani,"Tomaz Katrasnik, Klemen ZELIC, Amer Amor Chowdhury HAQUE, Ivo PACNIK, Igor MELE, Andraz KRAVOS",5/11/2022,11/16/2023,2023
US-11720125-B2,Electric aircraft with flight trajectory ,"Beta Air, Llc",Collin Freiheit,7/1/2021,8/8/2023,2023
US-2024027199-A1,Adaptive electric vehicle (ev) scheduling ,"Amit Kumar, Nishant Mehta, Piyush Manocha, Anshul Gupta, Naveen Sankaran, Anshul ANAND, Sri Krishnan Narayanan, Dharmesh KUMAR, Raffaele Menolascino","Amit Kumar, Nishant Mehta, Piyush Manocha, Anshul Gupta, Naveen Sankaran, Anshul ANAND, Sri Krishnan Narayanan, Dharmesh KUMAR, Raffaele Menolascino",7/18/2022,1/25/2024,2024
US-2022069694-A1,Method and Device for Controlling an Electronic Converter in a Technical System Using Methods of Artificial Intelligence ,Robert Bosch Gmbh,"Maja Rita Rudolph, Dennis Bura, Samuel Vasconcelos Araujo, Michael Jiptner",8/27/2020,3/3/2022,2022
US-12187272-B2,Autonomous driving system for communicating with and controlling a vehicle via a vehicle control interface ,Toyota Jidosha Kabushiki Kaisha,"Ikuma SUZUKI, Yuta OHASHI",1/31/2020,1/7/2025,2025
US-2024191497-A1,Modular interconnectable housing structures and built structures formed therefrom ,Currentdesign Pty Ltd,Julie LEUNG,4/23/2021,6/13/2024,2024
US-2024109423-A1,Methods and systems for controlling multiple electric axles ,Cummins Inc.,"Vivek Anand Sujan, Jenni Lyn Muncie-Sujan",2/17/2021,4/4/2024,2024
US-2023182617-A1,Retrofitting an electric vehicle with a intelligent supercapacitor battery unit ,"Sustainable Energy Technologies, Inc.",John Cronin,12/14/2021,6/15/2023,2023
US-2022101199-A1,Point-of-interest recommendation ,"Beijing Baidu Netcom Science Technology Co., Ltd.","Hao Liu, Weijia Zhang, Dejing Dou, Hui Xiong",12/24/2020,3/31/2022,2022
US-11783371-B2,"Methods, devices, and systems for home based electric vehicle (EV) charging ",Iotecha Corp.,"Oleg Logvinov, Kimberly Sarubbi, Adrian Weidmann",9/13/2021,10/10/2023,2023
US-11865947-B2,Regenerative braking control system for a hybrid or electric vehicle ,"Ford Global Technologies, Llc","Walter Joseph Ortmann, Ashish Naidu, Colby Jason Buckman, Mark Anthony Tascillo",1/7/2021,1/9/2024,2024
US-2024043025-A1,"Digital framework for autonomous or partially autonomous vehicle and/or electric vehicles risk exposure monitoring, measuring and exposure cover pricing, and method thereof ",Swiss Reinsurance Company Ltd.,"Luigi DI LILLO, Margherita ATZEI",2/9/2022,2/8/2024,2024
US-11946760-B2,Navigation map learning for intelligent hybrid-electric vehicle planning ,"Nissan North America, Inc.","Kyle Hollins Wray, David Ilstrup, Liam Pedersen, Richard Lui, Christopher Ostafew",12/22/2020,4/2/2024,2024
US-11878417-B2,"Robot, method of controlling same, and server for controlling same ",Lg Electronics Inc.,Wonhee Lee,1/23/2020,1/23/2024,2024
US-2024249536-A1,Automatic generation of profiles based on occupant identification ,"Micron Technology, Inc.",Robert Richard Noel Bielby,6/29/2020,7/25/2024,2024
